BUTTER-WITH SALT,15.87,717,0.85,0.06,24,0.02,
BUTTER-WHIPPED-W/ SALT,16.72,718,0.49,2.87,23,0.05,
BUTTER OIL-ANHYDROUS,0.24,876,0.28,0,4,0, 
CHEESE-BLUE,42.41,353,21.4,2.34,528,0.31,
CHEESE-BRICK,41.11,371,23.24,2.79,674,0.43,
CHEESE-BRIE,48.42,334,20.75,0.45,184,0.5,
CHEESE-CAMEMBERT,51.8,300,19.8,0.46,388,0.33,
CHEESE-CARAWAY,39.28,376,25.18,3.06,673,0.64,
CHEESE-CHEDDAR,37.02,404,22.87,3.09,710,0.14,
CHEESE-CHESHIRE,37.65,387,23.37,4.78,643,0.21,
CHEESE-COLBY,38.2,394,23.76,2.57,685,0.76,
CHEESE-COTTAGE-CRMD-LRG OR SML CURD,79.79,98,11.12,3.38,83,0.07,
CHEESE-COTTAGE-CRMD-W/FRUIT,79.64,97,10.69,4.61,53,0.16,
CHEESE-COTTAGE-NONFAT-UNCRMD-DRY-LRG OR SML CURD,81.01,72,10.34,6.66,86,0.15,
CHEESE-COTTAGE-LOWFAT-2% MILKFAT,81.24,81,10.45,4.76,111,0.13,
CHEESE-COTTAGE-LOWFAT-1% MILKFAT,82.48,72,12.39,2.72,61,0.14,
CHEESE-CREAM,52.62,350,6.15,5.52,97,0.11,
CHEESE-EDAM,41.56,357,24.99,1.43,731,0.44,
CHEESE-FETA,55.22,264,14.21,4.09,493,0.65,
CHEESE-FONTINA,37.92,389,25.6,1.55,550,0.23,
CHEESE-GJETOST,13.44,466,9.65,42.65,400,0.52,
CHEESE-GOUDA,41.46,356,24.94,2.22,700,0.24,
CHEESE-GRUYERE,33.19,413,29.81,0.36,1011,0.17,
CHEESE-LIMBURGER,48.42,327,20.05,0.49,497,0.13,
CHEESE-MONTEREY,41.01,373,24.48,0.68,746,0.72,
CHEESE-MOZZARELLA-WHL MILK,50.01,300,22.17,2.19,505,0.44,
CHEESE-MOZZARELLA-WHL MILK-LO MOIST,48.38,318,21.6,2.47,575,0.2,
CHEESE-MOZZARELLA-PART SKIM MILK,53.78,254,24.26,2.77,782,0.22,
CHEESE-MOZZARELLA-LO MOIST-PART-SKIM,47.07,295,23.75,5.58,697,0.22,
CHEESE-MUENSTER,41.77,368,23.41,1.12,717,0.41,
CHEESE-NEUFCHATEL,63.11,253,9.15,3.59,117,0.13,
CHEESE-PARMESAN-GRATED,22.65,420,28.42,13.91,853,0.49,
CHEESE-PARMESAN-HARD,29.16,392,35.75,3.22,1184,0.82,
CHEESE-PORT DE SALUT,45.45,352,23.78,0.57,650,0.43,
CHEESE-PROVOLONE,40.95,351,25.58,2.14,756,0.52,
CHEESE-RICOTTA-WHOLE MILK,71.7,174,11.26,3.04,207,0.38,
CHEESE-RICOTTA-PART SKIM MILK,74.41,138,11.39,5.14,272,0.44,
CHEESE-ROMANO,30.91,387,31.8,3.63,1064,0.77,
CHEESE-ROQUEFORT,39.38,369,21.54,2,662,0.56,
CHEESE-SWISS,37.63,393,26.96,1.44,890,0.13,
CHEESE-TILSIT,42.86,340,24.41,1.88,700,0.23,
